Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Real Madrid,77,€ 6203654 (£ 5201816 $6322216),€ 322590000 (£ 270494419 $328755245),10%
2,Barcelona,91,€ 4860481 (£ 4075554 $4953373),€ 252745000 (£ 211928796 $257575384),32%
3,Atlético Madrid,70,€ 3217885 (£ 2698223 $3279384),€ 167330000 (£ 140307605 $170527961),33%
4,Villarreal,78,€ 2039615 (£ 1710235 $2078596),€ 106060000 (£ 88932198 $108086988),19%
5,Sevilla,82,€ 1908462 (£ 1600261 $1944935),€ 99240000 (£ 83213571 $101136644),73%
6,Valencia,80,€ 1323462 (£ 1109734 $1348755),€ 68820000 (£ 57706147 $70135269),71%
7,Athletic Club,78,€ 1232692 (£ 1033623 $1256251),€ 64100000 (£ 53748389 $65325058),96%
8,Real Sociedad,80,€ 970192 (£ 813514 $988734),€ 50450000 (£ 42302748 $51414186),96%
9,Betis,83,€ 922500 (£ 773524 $940131),€ 47970000 (£ 40223247 $48886789),96%
10,Celta Vigo,64,€ 738077 (£ 618884 $752183),€ 38380000 (£ 32181951 $39113509),86%
11,Getafe,81,€ 730865 (£ 612837 $744833),€ 38005000 (£ 31867512 $38731337),95%
12,Espanyol,78,€ 568462 (£ 476660 $579326),€ 29560000 (£ 24786307 $30124941),100%
13,Granada,84,€ 498846 (£ 418287 $508380),€ 25940000 (£ 21750907 $26435758),100%
14,Alavés,72,€ 455288 (£ 381763 $463990),€ 23675000 (£ 19851686 $24127471),89%
15,Mallorca,83,€ 411346 (£ 344917 $419208),€ 21390000 (£ 17935696 $21798801),98%
16,Cádiz,89,€ 383654 (£ 321697 $390986),€ 19950000 (£ 16728242 $20331279),97%
17,Levante,83,€ 375865 (£ 315166 $383049),€ 19545000 (£ 16388647 $19918540),100%
18,Elche,73,€ 371442 (£ 311458 $378541),€ 19315000 (£ 16195792 $19684141),93%
19,Osasuna,78,€ 325000 (£ 272515 $331211),€ 16900000 (£ 14170790 $17222987),100%
20,Rayo Vallecano,76,€ 204519 (£ 171491 $208428),€ 10635000 (£ 8917536 $10838253),96%